,Title,Abstract,Journal,Language,Year,Month,Authors,Affiliations,Name,Abbr Name,ISSN,EISSN,Impact_Factor,Impact_Factor_5Years,Journal_Category,Universities,Study_Type_Extracted,Standardized_University,Rank,Research_Score,Rank_Median,Research_Score_Category
10,association between serum uric acid and prediabetes in a normal chinese population: a cross-sectional study.,"cardiovascular events are frequent among individuals with prediabetes. and the relationship between cardiovascular diseases and elevated serum uric acid (sua) levels has been supported by extensive scientific evidence. however, there remains controversy regarding the correlation between elevated sua and prediabetes. the aim of this study was to investigate the association between elevated sua levels and the prevalence of prediabetes and gender differences in the association. a total of 190,891 individuals who participated in health checkups at the health promotion center of sir run run shaw hospital of zhejiang university from january 2017 to december 2021 were included in this cross-sectional study. the health checkups were carried out by trained general practitioners and nurses. the diagnostic criteria for diabetes and prediabetes are defined in the standards of medical care in diabetes-2022. the association between sua levels and diabetes and prediabetes was examined based on logistic regression analysis. the dose-response effect between sua levels and diabetes and prediabetes in both sexes was assessed using a restricted cubic spline (rcs) regression model. among 190,891 participants, this study included 106,482 males (55.8%) and 84,409 females (44.2%). there were 46,240 (24.2%) patients with prediabetes and 20,792 (10.9%) patients with diabetes. sua was divided into quartiles (q). compared to the sua q1 group, the prevalence of prediabetes was elevated in the sua q4 group (or = 1.378, 95% ci = 1.321-1.437), but diabetes risk was decreased in the sua q4 group (or = 0.690, 95% ci = 0.651-0.730). we found that sua levels were correlated with prediabetes more significantly in male subjects (or = 1.328, 95% ci = 1.272-1.386) than in female subjects (or = 1.184, 95% ci = 1.122-1.249) (p for interaction < .001). higher sua levels were strongly related to an elevated prevalence of prediabetes but a decreased prevalence of diabetes. the association of sua in prediabetes was more significant in men.",medicine,eng,2024,Nov,"Shen Keqing, Huang Yilin, Zhang Junlu, Chen Liangli, Cai Xixuan, Pan Jianjiang, Li Jingyi, Li Lusha, Chen Liying","department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of pathology, second affiliated hospital of wenzhou medical university, wenzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china., department of general practice, sir run run shaw hospital, school of medicine, zhejiang university, hangzhou, zhejiang, china.",medicine,medicine,0025-7974,1536-5964,1.3,1.6,"MEDICINE, GENERAL & INTERNAL|Q2|143/325","school of medicine, zhejiang university, school of medicine, zhejiang university, school of medicine, zhejiang university, wenzhou medical university, school of medicine, zhejiang university, school of medicine, zhejiang university, school of medicine, zhejiang university, school of medicine, zhejiang university, school of medicine, zhejiang university",cross-sectional study,zhejiang university,55,75.3,55.0,High (75-100)
11,a comprehensive review of biomarker research in diabetic nephropathy from a global bibliometric and visualization perspective.,"diabetic nephropathy (dn) is a common complication of diabetes, which is prone to develop into end-stage renal disease, and early diagnosis and treatment is the key to effective management of dn. biomarkers have important clinical significance in the diagnosis and treatment of dn and have attracted extensive attention from researchers in recent years. the aim of this study was to visualize the field of biomarker research in dn through bibliometric analysis, to summarize the current status and predict future trends of this field, with a view to providing valuable insights for scholars and policy makers.",medicine,eng,2024,Nov,"Li Qin, Xie Yafei, Zuo Meiying, Li Fang","hunan university of medicine, huaihua, china., the first clinical medical college of lanzhou university, lanzhou, china., the first clinical medical college of lanzhou university, lanzhou, china., hunan university of medicine, huaihua, china.",medicine,medicine,0025-7974,1536-5964,1.3,1.6,"MEDICINE, GENERAL & INTERNAL|Q2|143/325","hunan university of medicine, lanzhou university, lanzhou university, hunan university of medicine",Unknown,hunan university,351–400,30.4,375.5,Low (0-50)
12,cross-sectional and longitudinal associations between glycaemic measures and grip strength in people without diabetes in the uk biobank cohort study.,"to investigate associations between glycaemic measures (hba1c, random glucose), and grip strength (gs) in adults without prevalent diabetes.",european geriatric medicine,eng,2024,Nov,"Granic Antoneta, Cooper Rachel, Hurst Christopher, Hillman Susan J, Dodds Richard M, Witham Miles D, Sayer Avan A","age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk. antoneta.granic@newcastle.ac.uk., age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk., age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk., age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk., age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk., age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk., age research group, translational and clinical research institute, faculty of medical sciences, newcastle university, the health innovation neighbourhood, biomedical research building, newcastle upon tyne, ne4 5pl, uk.",european geriatric medicine,eur geriatr med,1878-7649,1878-7657,3.5,3.2,GERIATRICS & GERONTOLOGY|Q2|29/74,"faculty of medical sciences, newcastle university, faculty of medical sciences, newcastle university, faculty of medical sciences, newcastle university, faculty of medical sciences, newcastle university, faculty of medical sciences, newcastle university, faculty of medical sciences, newcastle university, faculty of medical sciences, newcastle university",Unknown,newcastle university,168,41.1,168.0,Low (0-50)
13,baseline characteristics of the discover ckd prospective cohort.,"real-world data from patients with chronic kidney disease (ckd) are limited, particularly regarding clinical management, treatment patterns and health-related quality of life (hrqol) in the context of new therapies and updated standard of care guidelines.",advances in therapy,eng,2024,Nov,"Pollock Carol, Carrero Juan-Jesus, Kanda Eiichiro, Ofori-Asenso Richard, Chen Hungta, Garcia Sanchez Juan Jose, Pentakota Surendra, Pecoits-Filho Roberto, Fishbane Steven, Lam Carolyn S P, Kashihara Naoki, Wheeler David C","kolling institute, royal north shore hospital, university of sydney, 10 westbourne st, st leonards, sydney, nsw, 2064, australia. carol.pollock@sydney.edu.au., department of medical epidemiology and biostatistics, karolinska institutet, solna, sweden., department of health data science, kawasaki medical school, kurashiki, okayama, japan., cardiovascular, renal, metabolism epidemiology, biopharmaceuticals medical, astrazeneca, cambridge, uk., medical and payer evidence statistics, biopharmaceuticals medical, astrazeneca, gaithersburg, md, usa., global market access and pricing, astrazeneca, barcelona, spain., global medical affairs, biopharmaceuticals medical, astrazeneca, cambridge, uk., school of medicine, pontifical catholic university of parana, curitiba, brazil., division of nephrology, zucker school of medicine, great neck, ny, usa., national heart centre singapore, singapore, singapore., department of nephrology, kawasaki medical school, okayama, japan., department of renal medicine, university college london, london, uk.",advances in therapy,adv ther,0741-238X,1865-8652,3.4,4.0,PHARMACOLOGY & PHARMACY|Q2|105/354,"royal north shore hospital, university of sydney, karolinska institutet, kawasaki medical school, school of medicine, pontifical catholic university of parana, zucker school of medicine, national heart centre singapore, kawasaki medical school, university college london",treatment patterns,karolinska institute,50,67.9,50.0,Medium (50-75)
14,the role of anti-aging approaches in managing hypogonadism in sedentary older males.,"with thirty percent of the world's population not getting enough exercise, worldwide, physical inactivity ranks as one of the most common causes of premature mortality. rapid drops in physical activity, decreased mobility, and early morbidity are aging characteristics. as the population over 80 continues to rise, aging raises the danger of age-related illnesses and changes in hormone release.",frontiers in aging,eng,2024,No Data,Abdel-Sater Khaled A,"faculty of dentistry, mutah university, karak, jordan.",frontiers in aging,front aging-lausanne,,2673-6217,3.3,3.4,GERIATRICS & GERONTOLOGY|Q2|35/74,"faculty of dentistry, mutah university",Unknown,mutah university,1201–1500,11.5,1350.5,Low (0-50)
15,unleashing the potential of extracellular vesicles for ulcerative colitis and crohn's disease therapy.,image 1.,bioactive materials,eng,2025,Mar,"Njoku George Chigozie, Forkan Cathal Patrick, Soltysik Fumie Mitani, Nejsum Peter Lindberg, Pociot Flemming, Yarani Reza","translational type 1 diabetes research, department of clinical and translational research, steno diabetes center copenhagen, herlev, denmark., translational type 1 diabetes research, department of clinical and translational research, steno diabetes center copenhagen, herlev, denmark., translational type 1 diabetes research, department of clinical and translational research, steno diabetes center copenhagen, herlev, denmark., department of clinical medicine, aarhus university, aarhus, denmark., translational type 1 diabetes research, department of clinical and translational research, steno diabetes center copenhagen, herlev, denmark., translational type 1 diabetes research, department of clinical and translational research, steno diabetes center copenhagen, herlev, denmark.",bioactive materials,bioact mater,,2452-199X,18.0,18.2,"MATERIALS SCIENCE, BIOMATERIALS|Q1|1/53","department of clinical and translational research, steno diabetes center copenhagen, department of clinical and translational research, steno diabetes center copenhagen, department of clinical and translational research, steno diabetes center copenhagen, department of clinical medicine, aarhus university, department of clinical and translational research, steno diabetes center copenhagen, department of clinical and translational research, steno diabetes center copenhagen",Unknown,aarhus university,109,59.0,109.0,Medium (50-75)
16,assessing the efficacy of topical formulations in diabetic neuropathy: a narrative review.,we conducted a review of topical medications available for alleviation of diabetic neuropathic pain (dnp) and compared their efficacy with oral medications for pain relief. we also explored the feasibility of compounding topical medications.,journal of diabetes and metabolic disorders,eng,2024,Dec,"Elbeddini Ali, Tanvir Azasma, Yilmaz Orhan, Rahman Yusra, Mongon Renata","family medicine department, university of ottawa, school of medicine, 600 peter morand crescent suite 201, ottawa, on k1g 5z3 canada., college of medicine, university of saskatchewan, 107 wiggins rd, saskatoon, sk s7n 5e5 canada., college of medicine, university of saskatchewan, 107 wiggins rd, saskatoon, sk s7n 5e5 canada., faculty of health sciences, mcmaster university, 1280 main street west, hamilton, on l8s 4l8 canada., anesthesiology department, state university of campinas, campinas, brazil.",journal of diabetes and metabolic disorders,j diabetes metab dis,,2251-6581,1.8,2.4,ENDOCRINOLOGY & METABOLISM|Q4|143/186,"university of ottawa, school of medicine, college of medicine, university of saskatchewan, college of medicine, university of saskatchewan, faculty of health sciences, mcmaster university, state university of campinas",Unknown,mcmaster university,103,51.3,103.0,Medium (50-75)
17,material needs security and mental health outcomes in adults with type 2 diabetes in lebanon: a cross-sectional study.,"despite their documented significance in type 2 diabetes (t2dm) management, social determinants of health (sdohs) including material needs security and mental health outcomes are understudied in the middle east and north africa (mena) region. this study aims to assess the relation between material needs security and mental health outcomes in lebanese adults with t2dm.",journal of diabetes and metabolic disorders,eng,2024,Dec,"Sukkarieh Ola, Bassil Maya, Egede Leonard E","rafic hariri school of nursing, american university of beirut, beirut, lebanon., human nutrition department, college of health sciences, qu health, qatar university, p.o. box 2713, doha, qatar., department of medicine, university at buffalo, jacobs school of medicine and biomedical sciences, buffalo, ny usa.",journal of diabetes and metabolic disorders,j diabetes metab dis,,2251-6581,1.8,2.4,ENDOCRINOLOGY & METABOLISM|Q4|143/186,"american university of beirut, college of health sciences, qu health, qatar university, university at buffalo, jacobs school of medicine and biomedical sciences",Unknown,american university,601–800,17.1,700.5,Low (0-50)
18,"the impact of substituting clarified butter with canola oil on the components of metabolic syndrome, fatty liver index, and insulin resistance among individuals diagnosed with metabolic syndrome: a quasi-experimental study.","clarified butter, contain harmful saturated and beneficial trans-fatty acids. canola oil is a promising alternative to other oils for reducing saturated fat intake. this trial aimed to investigate the effects of replacing clarified butter with canola oil in patients with metabolic syndrome on various metabolic syndrome components, fatty liver index (fli), and insulin resistance.",journal of diabetes and metabolic disorders,eng,2024,Dec,"Sedgi Fatemeh Maleki, Hosseiniazar Mohammadreza Mohammad, Alizadeh Mohammad","student research committee, urmia university of medical sciences, urmia, iran., department of internal medicine, school of medicine, urmia university of medical sciences, urmia, iran., department of nutrition, school of medicine, urmia university of medical sciences, urmia, iran.",journal of diabetes and metabolic disorders,j diabetes metab dis,,2251-6581,1.8,2.4,ENDOCRINOLOGY & METABOLISM|Q4|143/186,"urmia university of medical sciences, department of internal medicine, school of medicine, urmia university of medical sciences, department of nutrition, school of medicine, urmia university of medical sciences",trial,urmia university,801–1000,19.5,900.5,Low (0-50)
19,correction: association between type 2 diabetes and branched chain amino acids (bcaa); a case-control study.,[this corrects the article doi: 10.1007/s40200-023-01247-9.].,journal of diabetes and metabolic disorders,eng,2024,Dec,"Abbas Torki Saheb, Bahadori Effat, Aghakhaninejad Zohreh, Khalatbari Mohseni Golsa, Tajadod Shirin, Rajabi Harsini Asma, Azaryan Fatemeh, Saeedirad Zahra, Ali Askarpour Seyed, Mahmoudi Zahra, Khoshdooz Sara, Bahar Bojlul, Shafaei Hanieh, Alireza Mosavi Jarrahi Seyed, Doaei Saeid, Nazemi Samad, Gholamalizadeh Maryam","department of nutrition, faculty of nutrition sciences, shiraz university of medical sciences, shiraz, iran., department of nutrition, mashhad university of medical sciences, mashhad, iran., department of nutrition, faculty of public health, kerman university of medical sciences, kerman, iran., nutrition and metabolic diseases research center, ahvaz jundishapur university of medical sciences, ahvaz, iran., department of nutrition, school of public health, international campus, iran university of medical sciences, tehran, iran., department of clinical nutrition, school of nutritional sciences and dietetics, tehran university of medical sciences, tehran, iran., department of physiology, school of medicine, zahedan university of medical sciences, zahedan, iran., department of clinical nutrition and dietetics, faculty of nutrition and food technology, shahid beheshti university of medical sciences, tehran, iran., division of food safety and hygiene, department of environmental health engineering, school of public health, tehran university of medical sciences, tehran, iran., department of nutrition, science and research branch, islamic azad university, tehran, iran., guilan university of medical sciences, rasht, iran., nutrition sciences and applied food safety studies, research centre for global development, school of sport and health sciences, university of central lancashire, preston, uk., nursing and midwifery school, guilan university of medical sciences, rasht, iran., school of medicine, shahid beheshti university of medical sciences, tehran, iran., department of community nutrition, faculty of nutrition sciences and food technology, national nutrition and food technology research institute, shahid beheshti university of medical sciences, tehran, iran., cellular and molecular research center, department of physiology and pharmacology, sabzevar university of medical science, sabzevar, iran., cancer research center, shahid beheshti university of medical sciences, tehran, iran.",journal of diabetes and metabolic disorders,j diabetes metab dis,,2251-6581,1.8,2.4,ENDOCRINOLOGY & METABOLISM|Q4|143/186,"shiraz university of medical sciences, mashhad university of medical sciences, kerman university of medical sciences, ahvaz jundishapur university of medical sciences, international campus, iran university of medical sciences, tehran university of medical sciences, zahedan university of medical sciences, shahid beheshti university of medical sciences, tehran university of medical sciences, islamic azad university, guilan university of medical sciences, university of central lancashire, guilan university of medical sciences, shahid beheshti university of medical sciences, shahid beheshti university of medical sciences, sabzevar university of medical science, shahid beheshti university of medical sciences",Unknown,shiraz university,801–1000,24.6,900.5,Low (0-50)
20,assessment of fracture risk in diabetic patients.,"patients with diabetes often experience reduced bone strength, resulting in a higher fracture risk. this decline and increased susceptibility stem from intricate interactions within the bone microstructure. however, current gold standard methods for assessing bone strength, such as bone mineral density, and widely-used fracture risk assessment tools do not accurately predict fracture risk in diabetic patients. therefore, it is crucial to incorporate additional indicators that evaluate bone quality and specific markers relevant to diabetes to enhance the accuracy of predictive models. moreover, the selection of appropriate algorithms for model construction is essential. this review aims to introduce indicators from both imaging examinations and laboratory indicators that hold significant value for inclusion in fracture risk prediction models for diabetic patients. additionally, this study provides an overview of the research progress in fracture risk prediction models for diabetic patients, serving as a valuable reference for clinical practice.",journal of diabetes and metabolic disorders,eng,2024,Dec,"Wang Zhenpeng, Zhang Mei, Jia Dan","department of laboratory medicine, west china hospital, sichuan university, chengdu, china., department of laboratory medicine, west china hospital, sichuan university, chengdu, china., department of outpatient, west china hospital, sichuan university, chengdu, china.",journal of diabetes and metabolic disorders,j diabetes metab dis,,2251-6581,1.8,2.4,ENDOCRINOLOGY & METABOLISM|Q4|143/186,"west china hospital, sichuan university, west china hospital, sichuan university, west china hospital, sichuan university",Unknown,sichuan university,150,57.3,150.0,Medium (50-75)
